,ch1,ch2,ch3,ch4
0,2.34,0.53,-0.73,10.13
1,1.59,0.68,0.84,10.52
2,0.2,1.19,3.22,6.04
3,-1.95,0.03,2.11,6.64
4,-4.92,-2.36,-4.27,1.18
5,-3.19,-0.51,-5.55,-4.96
6,-3.64,-0.78,-4.48,-7.03
7,-8.81,-5.78,-5.69,-11.34
8,-12.81,-9.83,-7.47,-16.2
9,-12.78,-9.4,-9.23,-14.32
10,-2.65,-2.33,-3.12,-1.03
11,6.41,2.92,5.59,10.27
12,2.11,-0.28,5.43,9.46
13,-8.64,-6.99,-1.96,-2.22
14,-7.41,-4.59,-3.96,-11.4
15,5.53,4.82,2.54,-3.41
16,4.53,0.68,0.75,1.37
17,-6.77,-9.24,-4.46,-6.76
18,-9.35,-7.58,-3.71,-9.85
19,-6.66,-3.84,-6.02,-6.4
20,-4.2,-2.63,-7.46,-3.5
21,-2.88,-2.36,-4.48,0.42
22,-0.53,-2.6,1.76,8.8
23,1.7,0.42,7.97,6.39
24,-7.2,-0.56,4.08,-18.25
25,-22.59,-8.19,-5.18,-38.72
26,-22.95,-7.53,-4.23,-28.77
27,-5.6,2.7,5.4,-2.74
28,6.76,4.03,5.55,8.33
29,8.35,-0.72,-1.79,7.52
30,8.87,0.46,-3.57,13.35
31,10.71,3.7,-1.65,25.73
32,22.46,12.97,7.74,42.27
33,29.52,20.87,16.17,47.57
34,13.18,10.68,6.93,26.09
35,-3.5,-2.09,-4.61,0.68
36,-4.28,-2.13,-3.48,-8.67
37,1.27,2.63,1.38,-11.12
38,2.28,4.66,2.37,-14.99
39,-4.51,2.25,-0.03,-18.15
40,-10.61,-4.21,-3.4,-16.91
41,-7.45,-6.85,-3.56,-14.27
42,0.32,-0.59,0.87,-9.73
43,0.82,1.03,2.28,-3.9
44,0.53,-0.31,1.47,2.21
45,3.28,4.48,2.29,6.23
46,-1.25,2.03,-1.09,1.18
47,-6.45,-6.39,-4.5,-2.34
48,-7.82,-8.55,-4.03,-1.44
49,-3.92,-3.6,-0.64,-3.32
50,1.33,0.56,0.84,-6.67
51,-3.09,-2.83,-4.33,-11.07
52,-6.21,-6.01,-6.37,-13.11
53,-2.08,-2.98,-3.76,-10.27
54,2.15,2.33,-0.91,1.78
55,2.14,3.79,2.38,10.41
56,0.15,2.37,3.26,6.24
57,3.33,3.47,2.67,4.23
58,4.02,1.75,-0.18,1.24
59,1.21,-1.98,-1.78,-2.67
60,1.27,-2.32,1.95,1.57
61,-2.0,-4.9,2.98,5.47
62,-3.67,-4.56,1.76,4.96
63,-1.82,1.18,2.25,-0.72
