,ch1,ch2,ch3,ch4
0,-0.74,0.74,-2.77,-7.11
1,-0.3,1.68,-1.52,-1.88
2,-0.9,3.72,0.54,-3.51
3,-1.78,2.49,-0.22,-6.63
4,-3.36,-2.25,-1.34,-6.38
5,-4.45,-6.01,-3.45,-4.02
6,1.99,-0.85,-2.44,9.52
7,2.25,-0.62,-5.4,11.15
8,-0.28,-5.19,-4.67,-0.61
9,2.28,-3.84,1.13,-1.74
10,-0.59,-2.66,-1.09,0.61
11,-0.67,0.25,0.44,6.59
12,1.83,4.07,4.4,12.1
13,5.14,6.1,5.9,4.24
14,10.91,7.53,9.28,-4.48
15,7.47,5.5,6.29,-1.84
16,1.24,3.39,0.97,-1.31
17,0.02,1.66,-1.08,-6.39
18,-1.03,1.75,1.68,1.06
19,-9.39,1.58,2.54,0.84
20,-17.96,-2.19,-2.97,-13.99
21,-6.57,2.32,-0.08,-7.43
22,7.68,9.96,4.08,8.47
23,6.2,10.8,4.77,16.92
24,3.19,9.97,8.9,18.78
25,8.18,11.53,11.27,9.52
26,11.67,14.28,12.04,4.68
27,-2.14,5.67,4.17,3.2
28,-13.13,-4.19,-4.42,-0.33
29,-6.15,-0.84,-2.29,-2.21
30,-2.51,2.12,-1.03,-6.54
31,-5.56,0.25,-3.61,-3.28
32,-9.44,-4.37,-8.6,-0.95
33,-2.09,-4.02,-6.64,-7.51
34,12.72,2.93,1.82,-2.48
35,9.93,1.86,3.17,6.04
36,-1.63,-6.28,0.56,3.12
37,-8.28,-13.44,-5.67,-5.28
38,-5.9,-11.52,-7.57,-5.17
39,6.58,1.93,3.23,3.7
40,9.81,10.25,8.68,3.16
41,4.94,7.71,4.75,4.23
42,-0.71,-6.77,-2.64,9.47
43,-7.79,-17.73,-6.47,6.85
44,-6.33,-5.37,-1.28,-0.4
45,6.48,9.25,2.98,-1.61
46,14.91,12.37,3.96,8.95
47,2.03,7.38,0.76,-1.46
48,-4.65,7.33,3.04,-16.38
49,9.37,15.48,10.2,-5.11
50,14.48,11.55,5.62,2.25
51,-3.87,-3.51,-6.09,-1.04
52,-27.09,-16.67,-13.59,-10.2
53,-17.15,-12.87,-5.96,-12.6
54,10.86,2.9,4.63,-6.58
55,13.41,4.52,-2.43,-7.5
56,-1.3,-1.85,-10.34,0.71
57,-14.66,-6.93,-7.32,10.42
58,-17.5,-9.45,-3.42,-0.17
59,-7.94,-3.4,-1.62,-8.83
60,6.95,5.72,1.96,-0.28
61,16.15,2.3,5.09,-10.1
62,7.94,-11.86,2.52,-35.86
63,9.68,6.73,7.23,-40.79
64,25.42,43.78,18.55,-68.42
65,23.66,35.59,14.09,-89.38
66,9.41,1.09,-3.53,-37.43
67,-8.26,-3.63,-10.55,9.59
68,-30.43,3.89,-9.13,52.51
69,-39.58,-35.57,-22.39,72.42
70,-32.69,-74.32,-29.45,0.38
71,-41.1,-47.94,-20.9,6.41
72,-61.97,-21.13,-12.39,144.73
73,-65.64,-39.6,-3.38,209.74
74,-29.67,-69.62,-20.32,129.84
75,18.45,-76.63,-53.29,30.4
76,20.86,-26.13,-42.91,12.19
77,2.37,-5.37,-13.33,21.2
78,3.54,-75.31,-21.08,-10.87
79,9.47,-94.92,-22.13,-56.0
80,-3.55,-77.78,7.21,-52.58
81,-5.81,-55.21,15.58,-23.01
82,42.66,63.93,5.89,-39.55
83,97.77,136.53,0.7,-82.96
84,98.89,87.38,-2.75,-62.6
85,48.12,85.44,17.64,16.09
86,-0.57,93.06,37.42,35.33
87,-2.09,71.67,30.82,-4.43
88,29.55,108.52,17.84,-51.23
89,31.95,115.95,-15.18,-57.63
90,-3.4,90.33,-34.15,28.87
91,-23.0,80.33,6.45,85.59
92,-16.02,56.64,48.38,19.04
93,-6.8,27.39,31.11,-38.58
94,-19.61,-22.49,-25.92,-16.14
95,-39.91,-42.16,-39.37,-9.09
96,-30.96,33.77,23.84,-30.72
97,-3.39,124.97,86.57,-25.1
98,11.03,119.53,103.7,-16.43
99,5.84,29.31,74.95,-15.44
100,-7.49,-67.55,17.76,7.84
101,-8.53,-98.03,-15.25,22.6
102,-0.01,-69.84,-7.77,2.65
103,-6.42,-47.38,7.38,-11.85
104,-18.15,-57.59,1.33,-4.19
105,-14.27,-101.51,-9.97,1.65
106,3.76,-111.22,-7.93,5.96
107,18.27,-66.48,-11.53,4.32
108,17.03,-64.56,-31.15,-4.44
109,12.1,-96.2,-44.21,2.54
110,13.88,-62.94,-21.21,11.83
111,12.45,-15.16,20.28,6.44
112,3.91,-34.83,22.46,-3.65
113,5.8,-57.83,-9.54,-4.59
114,14.25,-38.2,-19.87,8.86
115,10.62,-13.79,-5.93,20.26
116,-1.71,-7.65,-8.79,9.77
117,-18.63,-14.14,-33.91,-16.18
118,-29.49,-13.99,-39.69,-36.61
119,-25.97,-9.21,-27.22,-46.16
120,-16.18,-6.64,-21.85,-36.09
121,-6.51,-1.73,-9.05,-5.85
122,-2.54,-3.45,1.7,10.11
123,0.13,-4.92,-8.33,1.7
124,5.06,9.05,-19.06,7.54
125,8.39,25.75,-15.72,29.94
126,5.73,22.34,-11.11,29.11
127,-5.84,11.18,-5.53,11.17
128,-12.46,17.08,8.5,2.27
129,-11.28,20.62,8.97,-11.92
130,-5.32,18.39,0.55,-25.43
131,3.22,24.24,5.58,-17.48
132,3.04,23.33,15.42,-8.18
133,6.84,21.93,23.82,-3.07
134,15.01,29.81,27.13,3.7
135,13.81,31.16,21.49,6.24
136,13.25,22.34,15.38,4.37
137,14.58,18.14,17.03,2.6
138,11.88,22.91,23.6,7.5
139,10.29,22.86,23.71,10.61
140,11.51,16.71,14.8,8.13
141,11.94,16.27,7.98,5.73
142,9.41,11.92,5.6,3.66
143,9.15,-1.02,3.33,9.08
144,13.08,-2.87,2.96,16.58
145,9.76,2.21,3.64,4.63
146,-0.63,0.33,6.13,-10.62
147,-5.85,-0.58,6.38,-5.15
148,-2.13,4.1,2.37,6.1
149,1.9,5.69,0.47,8.47
150,-3.0,-0.18,-4.23,-0.24
151,-5.01,0.84,-5.97,-0.38
152,-0.03,10.35,-1.62,16.46
153,0.44,11.84,-1.58,20.19
154,-1.47,8.19,-4.03,6.66
155,-1.55,8.83,-4.42,1.08
156,0.67,8.68,-2.85,4.48
157,1.37,4.21,-3.58,2.65
158,0.19,4.0,-4.03,-0.39
159,1.0,7.63,-1.39,-1.58
160,-0.78,4.96,-1.86,-4.07
161,-2.07,1.15,-4.77,-0.67
162,-0.86,2.45,-5.09,3.23
163,-1.89,3.84,-2.58,4.01
164,-5.34,3.03,-3.18,2.38
165,-6.2,0.8,-4.81,-1.55
166,-1.62,-2.73,-1.46,-0.39
167,-3.59,-7.15,-0.36,-1.6
168,-6.49,-6.41,-1.49,-5.0
169,-0.06,-2.61,-0.75,-3.63
170,2.24,-4.4,1.46,-0.6
171,-1.23,-6.68,3.87,2.44
172,-0.33,-4.11,3.26,7.19
173,7.91,0.62,4.81,19.8
174,12.33,1.91,6.59,29.33
175,1.78,-1.9,1.79,16.78
176,-6.27,-2.82,-1.01,-3.68
177,1.72,-0.61,1.71,-17.36
178,12.29,1.66,5.71,-18.48
179,9.52,1.39,5.16,-6.12
180,-3.43,-6.65,-4.4,-2.08
181,-8.66,-14.19,-13.15,-5.98
182,-8.08,-16.18,-14.31,0.11
183,-2.15,-9.74,-3.1,9.44
184,7.7,1.85,12.41,4.5
185,8.84,5.99,14.62,-6.39
186,1.66,2.77,7.95,-5.43
187,-11.82,-5.51,-1.52,-4.08
188,-10.44,-4.83,-3.26,-8.24
189,5.86,8.83,4.88,-5.5
190,5.21,9.49,4.77,-2.66
191,-8.15,-2.93,-4.71,-2.36
192,-11.42,-6.42,-9.62,0.71
193,-3.82,-1.81,-3.55,-4.99
194,-4.25,-2.31,0.09,-14.69
195,-13.34,-7.1,-5.76,-11.41
196,-16.89,-10.18,-10.43,-5.13
197,-20.67,-13.24,-12.26,-1.61
198,-12.54,-6.14,-6.31,6.52
199,4.59,7.39,1.25,3.27
200,-0.26,5.4,-2.83,-9.0
201,-5.87,-1.1,-5.67,-10.77
202,-0.33,-0.57,-3.3,-9.72
203,-0.13,0.08,0.89,-6.66
204,0.45,1.4,7.22,-0.34
205,0.99,0.18,5.14,0.97
206,-2.01,-1.19,0.42,4.28
207,-7.21,-1.08,-0.98,6.23
208,-10.97,-4.71,-5.37,1.54
209,-7.02,-4.02,-6.12,-0.71
210,3.95,1.99,-1.1,-2.15
211,9.97,-1.62,1.67,-2.14
212,0.85,-10.01,0.08,7.36
213,-2.26,1.47,2.98,16.22
214,5.79,16.9,5.3,10.33
215,0.97,12.15,1.07,3.32
216,-0.96,8.18,4.5,3.45
217,5.22,7.74,8.14,0.74
218,6.56,2.19,3.51,-1.69
219,7.51,-1.79,-1.67,0.96
220,-0.17,-5.71,-5.17,0.71
221,-8.11,-6.28,-5.44,-11.94
222,-10.21,-7.69,-8.03,-25.35
223,-13.72,-13.19,-11.24,-19.6
224,-13.52,-10.34,-8.78,-1.51
225,-7.07,-1.99,-4.88,14.24
226,8.41,4.0,1.41,17.02
227,19.59,4.62,6.07,0.29
