,ch1,ch2,ch3,ch4
0,11.77,13.82,17.12,3.24
1,9.96,13.73,13.39,8.57
2,1.64,10.3,10.4,6.86
3,-2.37,8.27,11.16,0.69
4,-1.81,6.23,12.45,-4.45
5,-3.83,2.18,8.0,-5.71
6,-7.79,-1.34,-0.44,-7.92
7,-9.21,-2.59,-5.76,-5.71
8,-4.81,-1.58,-7.7,4.64
9,2.66,2.43,-5.05,8.83
10,2.91,3.36,-4.32,-3.3
11,-4.68,-3.6,-10.9,-16.86
12,-8.93,-7.39,-11.34,-14.32
13,-8.41,-5.12,-6.68,-8.68
14,-6.92,-5.62,-6.43,-6.61
15,-4.33,-6.67,-6.62,1.34
16,-1.38,-3.14,-4.88,7.52
17,-2.76,-1.69,-5.03,7.77
18,-10.03,-7.37,-11.01,3.59
19,-9.73,-7.68,-11.01,0.43
20,-1.03,-1.73,-3.49,1.45
21,3.9,0.95,-1.24,2.29
22,6.55,4.94,1.65,5.17
23,3.27,5.37,1.7,5.94
24,-5.16,-2.99,-5.82,4.53
25,-5.56,-7.44,-6.47,4.39
26,1.84,-3.26,0.93,3.11
27,7.13,2.96,4.95,5.72
28,5.83,3.98,2.18,6.84
29,5.33,1.09,1.56,2.13
30,6.71,1.03,3.8,3.67
31,3.29,2.86,2.11,8.38
32,1.67,5.73,1.13,6.28
33,1.01,3.13,0.64,2.08
34,-1.36,-3.02,0.45,2.35
35,-2.97,-1.72,1.15,1.53
36,-4.86,2.09,-0.25,-2.43
37,-3.03,1.76,-1.34,-5.32
38,-1.37,-1.12,-2.49,-7.36
39,-1.11,-2.06,-0.75,-5.45
40,2.6,0.28,3.11,-2.13
41,8.72,3.88,3.22,2.0
42,9.34,4.75,2.25,4.17
43,-2.91,-3.28,-1.4,-3.7
44,-10.09,-11.12,-3.68,-6.09
45,-3.86,-8.4,1.09,1.18
46,-4.41,-7.02,1.17,-2.18
47,-7.58,-7.49,-1.37,-13.21
48,-3.93,-4.02,0.48,-15.54
49,1.91,-0.85,1.25,-4.92
50,0.73,-1.91,-2.69,2.61
51,-7.46,-5.82,-9.0,-2.36
52,-2.98,-2.33,-7.13,-4.81
53,1.88,1.42,0.48,-4.43
54,-1.06,0.22,5.99,-4.45
55,1.9,-0.54,7.05,-0.11
56,2.95,-2.57,3.09,3.91
57,1.52,-0.72,1.76,2.38
58,-2.07,0.01,0.14,-2.28
59,-4.11,-2.63,-4.52,-0.94
60,1.58,-1.29,-7.93,1.34
61,0.75,-1.85,-9.13,-3.76
62,-4.49,-2.47,-2.89,-6.17
63,-0.22,1.64,2.47,-2.17
64,5.21,4.38,0.65,4.76
65,2.6,1.69,0.57,8.37
66,0.07,-1.81,2.09,3.33
67,3.86,-0.29,4.83,-0.63
68,6.74,4.93,4.8,-0.0
69,6.48,7.93,-6.5,3.45
70,1.2,1.82,-13.66,8.26
71,-8.58,-5.47,-0.64,4.98
72,-9.22,-3.53,12.91,-4.67
73,-5.08,-1.55,6.46,-7.44
74,-2.89,-1.4,-3.28,-4.01
75,-0.69,5.37,2.55,-3.71
76,-1.03,18.03,12.86,-3.55
77,1.1,26.8,16.78,1.46
78,2.44,16.4,13.3,3.84
79,0.9,-4.53,5.29,1.78
80,-1.19,-4.77,1.19,-5.13
81,-7.19,10.15,-1.82,-20.1
82,-11.94,10.91,-4.0,-24.44
83,-9.23,9.07,-0.29,-18.81
84,0.76,20.04,-1.39,-11.15
85,2.39,22.08,-19.84,5.99
86,-9.84,7.54,-24.83,11.01
87,-19.85,-5.02,4.58,-11.14
88,-12.33,2.33,25.2,-35.91
89,12.74,29.21,23.11,-53.94
90,23.12,28.67,10.83,-74.88
91,14.11,0.32,-2.79,-64.88
92,-6.08,-13.25,-8.48,-41.25
93,-36.41,-16.7,-20.17,-19.75
94,-32.53,-3.34,-23.66,28.26
95,-5.75,12.56,-14.06,73.11
96,-8.12,1.04,-17.22,119.25
97,-28.0,-19.39,-5.3,145.99
98,-18.29,-21.93,9.24,70.48
99,16.98,-13.29,-18.39,-34.9
100,23.85,-18.94,-55.04,5.25
101,-3.09,-33.94,-37.87,110.23
102,-26.82,-70.58,17.96,108.33
103,-7.12,-128.52,1.57,48.04
104,32.75,-116.5,-58.33,8.8
105,38.3,-40.92,-75.15,-26.71
106,12.9,9.64,-47.51,-73.53
107,0.29,52.97,10.96,-64.39
108,2.56,55.52,13.75,3.18
109,-6.2,21.66,-4.86,27.07
110,7.44,44.83,44.9,4.63
111,39.69,55.45,43.53,-12.35
112,39.71,37.19,-8.05,-15.02
113,-1.57,82.95,29.39,-33.3
114,-32.58,95.97,62.01,-61.14
115,-16.82,12.27,27.11,-26.7
116,10.19,-9.19,17.83,24.6
117,17.47,30.94,15.24,2.93
118,5.98,32.85,-7.75,-30.74
119,-4.63,54.4,11.78,-4.76
120,-6.44,102.62,64.27,12.28
121,-7.54,99.46,74.14,-28.4
122,-6.19,41.68,49.28,-51.2
123,-0.82,-12.64,26.96,-31.15
124,5.56,-40.97,12.06,-15.37
125,6.05,-52.85,6.68,5.04
126,3.1,-67.41,-13.25,31.33
127,4.26,-78.98,-42.37,27.1
128,-3.41,-62.85,-36.28,9.61
129,-11.09,-53.19,-2.58,20.51
130,0.57,-77.74,5.99,33.18
131,16.18,-82.27,-5.89,19.48
132,30.35,-48.31,-8.37,10.71
133,31.21,-39.65,-18.07,-8.79
134,6.67,-56.5,-17.51,-47.26
135,-11.3,-39.12,6.15,-42.87
136,-1.44,-7.13,10.49,-8.01
137,16.07,-3.37,-5.29,3.07
138,19.87,-0.04,-3.23,10.11
139,23.31,8.65,-4.81,24.08
140,23.51,-1.65,-17.82,19.17
141,2.93,-4.61,7.31,12.74
142,-1.82,11.06,32.73,19.81
143,14.47,15.06,11.27,19.49
144,13.41,14.55,-2.77,9.72
145,-1.62,25.52,6.14,-3.75
146,-11.94,20.64,-1.1,-8.36
147,-11.43,3.95,-9.85,0.91
148,-10.27,9.39,1.28,-3.03
149,-9.76,19.71,5.28,-19.51
150,-6.3,6.38,-11.85,-22.38
151,-6.92,-0.98,-12.33,-12.72
152,-4.74,15.88,13.04,-6.82
153,-4.26,14.64,13.27,-13.83
154,-7.39,1.2,-6.87,-18.91
155,-2.2,10.54,-7.77,-5.78
156,-0.68,11.91,0.76,9.07
157,-9.95,-7.79,6.16,8.23
158,-15.17,-14.17,5.43,-1.21
159,-10.08,-8.68,-0.95,-5.14
160,-2.75,-12.45,-9.84,-5.34
161,-1.12,-16.16,-15.82,-8.38
162,-2.78,-11.72,-10.42,-5.91
163,0.25,-8.32,-1.76,6.02
164,7.27,-3.57,4.3,16.39
165,9.16,6.53,9.02,13.85
166,13.2,11.16,8.9,5.48
167,20.39,4.48,1.72,6.99
168,13.11,-1.17,-2.69,10.41
169,3.83,0.43,2.89,10.14
170,5.81,0.85,2.37,11.93
171,8.19,1.82,-2.12,13.5
172,8.46,6.15,4.15,10.89
173,3.39,3.97,1.16,0.08
174,-2.72,3.46,-10.92,-3.99
175,0.3,16.3,-7.93,3.66
176,7.48,28.93,2.17,8.51
177,11.99,27.4,4.29,13.65
178,7.73,16.06,-1.92,10.37
179,0.89,14.2,-3.55,0.04
180,0.93,22.32,2.12,3.76
181,0.98,24.44,3.92,6.69
182,-1.26,24.69,4.35,0.5
183,0.35,23.49,1.46,1.02
184,4.33,15.3,-4.11,7.85
185,-1.19,6.56,-5.42,4.07
186,-10.39,2.93,-6.12,-8.64
187,-8.1,7.42,-5.68,-12.65
188,-6.57,8.79,-4.63,-12.47
189,-8.59,3.68,-0.64,-5.97
190,-5.54,1.47,3.97,4.34
191,-6.06,-2.69,1.91,0.21
192,-9.75,-6.42,1.04,-7.24
193,-14.76,-6.31,-0.78,-5.82
194,-16.65,-7.18,-7.27,-5.04
195,-8.39,-9.71,-8.27,-10.54
196,-2.37,-12.93,-3.84,-14.95
197,-4.7,-13.74,-0.54,-11.2
198,-8.61,-12.71,0.8,-7.58
199,-9.23,-11.59,1.1,-9.13
200,-12.94,-13.69,-5.1,-10.65
201,-16.68,-14.46,-9.37,-7.38
202,-2.79,-4.57,1.61,3.87
203,9.9,2.77,10.1,11.06
204,4.1,-0.82,5.85,6.97
205,-7.11,-7.49,-2.94,1.47
206,-12.83,-8.24,-4.84,-2.47
207,-3.45,1.19,5.15,-0.41
208,7.85,5.41,7.1,3.5
209,4.62,-1.62,-0.36,-2.85
210,-3.89,-7.44,-1.97,-10.69
211,-3.72,-7.84,-1.28,-6.55
212,1.31,-8.44,-4.21,0.34
213,-1.04,-9.17,-7.69,-1.91
214,-2.19,-3.8,-2.99,0.14
215,0.68,-0.24,3.29,6.35
216,-4.08,-4.97,-1.57,1.95
217,-7.09,-5.66,-3.63,1.01
218,-0.41,-0.53,1.72,5.27
219,3.63,-0.08,-0.08,-0.56
220,-0.45,-2.27,-6.56,-8.92
221,-3.74,-1.92,-7.05,-8.31
222,-2.28,-0.75,-1.42,-2.22
223,-4.1,-0.13,-0.33,0.07
224,-3.27,2.98,-2.23,3.06
225,2.98,5.33,-1.63,7.55
226,3.92,2.35,-1.18,6.43
227,0.55,-0.53,-1.31,4.52
228,-2.34,-1.6,-3.53,1.61
229,0.34,-1.79,-1.77,-4.06
230,3.26,-0.47,2.74,-5.55
231,0.98,0.61,0.13,-7.06
232,-1.44,-0.83,-4.75,-10.1
233,-1.91,-1.97,-2.78,-0.5
234,0.54,0.72,1.83,6.87
235,2.61,1.48,-3.27,-1.81
236,3.85,3.41,-6.2,1.37
237,3.86,7.55,4.93,14.86
238,-0.99,1.06,8.24,9.83
239,-1.81,-6.19,2.26,-4.6
240,4.04,-0.94,2.65,-7.27
241,7.86,4.28,4.42,0.24
242,6.7,1.23,1.55,5.92
243,2.81,-1.56,-3.68,4.88
244,1.7,0.51,-3.54,3.03
245,-1.01,-2.47,-0.22,-4.5
246,-6.15,-9.99,1.34,-13.94
247,-5.96,-10.06,2.92,-8.1
248,-4.29,-7.45,-0.95,4.33
249,-2.51,-5.05,-5.5,8.09
250,0.6,0.66,-2.93,4.6
251,0.77,3.91,0.18,2.54
252,-5.54,-0.33,-2.54,-2.71
253,-9.91,-4.74,-5.05,-11.49
254,3.68,2.74,2.65,-4.13
255,15.38,8.8,7.22,8.1
256,8.81,4.98,3.51,4.87
257,3.2,4.67,4.04,-3.6
258,-1.06,2.44,0.82,-3.06
259,-2.77,-0.33,-1.58,11.24
260,2.53,3.86,1.38,19.69
261,2.47,3.5,-3.45,11.23
262,-5.26,-4.8,-8.14,4.43
263,-10.72,-9.41,-2.73,-2.03
264,0.67,0.96,10.59,-9.14
265,17.63,14.35,18.95,-7.27
266,16.66,13.14,14.44,-3.95
267,6.46,4.79,7.73,-2.05
268,0.26,0.35,1.78,1.36
269,2.76,5.35,1.81,9.48
270,4.73,9.26,5.07,10.31
271,-7.84,-1.37,-1.44,-3.74
272,-18.68,-10.71,-10.39,-9.17
273,-16.72,-9.4,-16.9,-8.07
274,-9.17,-3.2,-16.13,-14.46
275,3.27,3.04,-3.89,-16.41
276,9.39,1.35,6.12,-10.95
277,1.37,-5.0,5.98,-0.0
278,-4.54,-4.96,0.94,11.02
279,0.39,2.43,-0.02,13.98
280,0.73,4.71,0.89,10.26
281,-7.42,-2.32,-3.22,-0.21
282,-6.22,-4.73,-5.31,-7.26
283,1.85,0.18,-3.38,-6.75
284,4.36,2.79,-2.63,-6.29
285,4.59,2.89,-1.51,-3.72
286,4.32,3.11,1.94,1.4
287,3.05,0.51,4.91,5.33
288,1.52,-5.27,3.5,8.09
289,0.68,-5.22,2.27,7.85
290,1.53,0.86,3.75,5.18
291,2.88,3.28,2.48,4.83
292,1.78,2.38,0.18,-0.6
293,-9.37,-1.76,-2.82,-16.44
294,-22.06,-7.73,-5.65,-26.09
295,-16.46,-7.5,-3.17,-21.71
296,1.03,-0.67,2.76,-10.03
297,10.75,4.28,6.85,5.13
298,11.04,2.8,4.9,14.32
299,10.6,1.42,0.66,14.44
300,9.8,2.61,-1.76,15.35
301,9.25,3.74,-2.2,22.85
302,6.76,3.52,-2.55,26.15
303,-0.82,0.21,-5.66,14.37
304,-2.9,-1.67,-4.27,1.41
305,-2.52,-1.15,-2.04,-5.35
306,-5.65,-0.58,-2.8,-13.09
307,-3.56,0.32,0.92,-13.57
308,0.54,-0.37,2.47,-9.22
309,4.29,2.52,1.41,-5.78
310,2.46,4.98,-0.82,-0.84
311,-7.16,-0.96,-4.01,-1.55
312,-6.85,-2.89,0.36,-5.72
313,-0.02,0.41,4.11,-9.34
314,0.06,-1.59,0.8,-7.08
315,-1.64,-4.24,-1.33,0.22
316,-2.34,-1.17,0.98,1.26
317,-3.61,3.59,1.05,-5.59
318,-2.71,5.39,-1.9,-9.16
319,1.1,4.21,1.41,3.82
320,1.95,1.23,6.45,13.22
321,0.23,0.37,6.18,3.37
