,ch1,ch2,ch3,ch4
0,-0.8,-2.18,-7.62,15.68
1,-4.39,-3.03,-4.05,-0.17
2,-4.25,-0.59,1.61,-11.19
3,-6.38,-2.28,-3.84,-13.15
4,-11.65,-4.77,-9.15,-16.58
5,-12.06,-6.95,-5.9,-20.75
6,-7.32,-7.93,-4.81,-14.85
7,-2.2,-1.55,-2.67,-2.73
8,-2.3,-0.3,-0.52,-3.77
9,-2.22,-2.09,1.09,-9.03
10,-0.94,-0.52,1.25,-10.07
11,-2.74,-2.25,-2.85,-13.02
12,-0.85,-0.49,-0.41,-7.66
13,2.12,3.67,3.4,-0.5
14,2.15,3.58,2.2,-1.33
15,-3.61,-1.34,-1.37,-4.12
16,-9.93,-7.81,-5.83,-3.33
17,-3.55,-7.9,-4.27,3.07
18,1.49,-6.42,-1.87,3.29
19,-0.89,-4.59,-0.66,-2.1
20,-2.13,-1.98,-1.09,-1.51
21,-5.74,-3.84,-5.13,-0.65
22,-7.37,-4.51,-4.48,-1.32
23,-3.93,-1.55,0.19,-0.19
24,0.6,3.63,4.01,0.51
25,3.68,8.59,5.09,1.69
26,6.8,9.83,6.46,7.6
27,7.79,8.81,6.59,12.76
28,-0.98,6.58,0.27,6.0
29,-7.87,5.78,-0.7,-1.99
30,-4.37,6.7,4.47,-0.4
31,-0.22,8.3,5.92,2.36
32,1.51,9.62,7.3,-2.52
33,0.68,7.34,7.02,-10.81
34,3.47,6.48,4.61,-2.84
35,6.6,7.45,0.92,9.31
36,2.07,5.01,-3.55,4.07
37,1.35,1.55,-1.99,1.27
38,3.44,-3.14,0.51,8.07
39,2.76,-4.82,0.67,15.74
40,-0.76,-4.11,-2.03,16.51
41,-2.53,-6.46,-6.08,8.07
42,7.74,-4.46,-0.88,3.49
43,14.32,-0.72,4.87,2.98
44,9.29,-1.07,5.43,5.59
45,4.57,-2.0,5.67,7.32
46,3.4,-1.67,2.58,6.08
47,3.44,-1.75,-0.1,7.25
48,-2.84,-7.55,-3.81,-0.28
49,-5.54,-11.08,-5.29,-9.04
50,-0.11,-7.26,-2.35,-9.87
51,1.47,-5.56,-2.16,-8.93
52,3.97,-5.18,-2.43,-3.58
53,5.17,-4.21,-5.33,-2.92
54,-0.75,-5.38,-8.81,-5.96
55,-3.39,-5.42,-8.6,-0.78
56,1.65,-1.01,-5.03,5.31
57,3.82,1.45,0.28,2.53
58,-0.2,-3.78,-1.5,-6.12
59,1.76,-4.97,-2.83,-6.7
60,7.35,1.9,1.29,2.25
61,9.15,6.0,2.36,7.25
62,9.03,5.31,3.11,5.86
63,4.36,1.19,2.35,2.52
64,-0.76,-1.91,-0.03,-0.03
65,-5.96,-5.07,-3.12,-6.34
66,-10.81,-9.77,-5.87,-12.17
67,-6.29,-7.05,-2.76,-6.61
68,1.55,-1.14,-0.36,3.09
69,5.93,1.66,2.17,7.09
70,6.98,2.57,7.24,3.78
71,8.2,3.47,10.43,5.03
72,8.83,5.06,7.71,11.86
73,-1.46,-1.69,-3.57,1.88
74,-11.21,-9.41,-6.78,-14.76
75,-11.3,-3.94,-0.21,-14.53
76,-12.32,2.75,2.01,-6.27
77,-14.86,0.38,1.62,-2.24
78,-14.38,-2.52,0.24,-5.94
79,-6.53,5.25,2.95,-7.28
80,-4.52,19.66,8.19,-11.13
81,-11.74,31.27,8.46,-18.87
82,-12.05,29.65,1.26,-12.8
83,-10.23,13.77,-15.69,-7.91
84,-4.13,3.93,-19.41,-19.53
85,-3.6,2.11,0.97,-39.7
86,-15.62,3.87,24.99,-42.96
87,-6.58,8.31,38.11,-16.17
88,15.5,2.28,21.54,-13.67
89,12.42,7.75,-10.0,-25.79
90,-4.01,16.44,-19.81,-1.02
