,ch1,ch2,ch3,ch4
0,-5.15,-4.41,-3.67,-8.68
1,-3.64,-4.51,-3.45,-9.94
2,-4.24,-6.38,-0.19,-17.53
3,-5.08,-5.73,1.09,-13.79
4,-1.77,0.08,2.27,-2.52
5,-1.16,2.32,0.4,0.17
6,-4.5,-0.47,-3.53,-3.75
7,-3.09,-1.42,0.92,-3.1
8,4.19,4.51,11.02,3.28
9,10.13,9.09,13.49,8.63
10,8.3,5.5,8.15,5.71
11,2.93,1.38,3.51,-4.81
12,2.07,2.69,4.56,-8.6
13,1.28,4.69,5.16,-2.51
14,-1.29,-0.48,-1.28,5.17
15,1.34,-3.39,-2.47,13.31
16,3.65,1.0,3.12,12.36
17,-0.38,1.43,2.49,-0.03
18,-2.24,0.8,-0.04,-7.08
19,1.02,1.96,0.55,-2.93
20,1.76,2.08,-0.62,-1.62
21,-0.64,2.65,-2.99,-6.21
22,-1.92,1.48,-4.66,-2.59
23,-2.18,1.11,-4.56,6.51
24,-3.28,1.22,-2.46,5.05
25,-2.57,1.23,0.77,-1.4
26,2.36,3.11,2.24,2.87
27,6.55,0.48,-1.3,6.96
28,5.66,-2.05,-3.24,-1.02
29,1.05,-1.37,-2.01,-5.36
30,-3.97,-2.78,-3.26,4.15
31,-5.77,-3.83,-5.7,11.38
32,-3.45,-4.82,-8.33,5.44
33,-2.12,-5.4,-8.47,-0.18
34,-3.81,-5.34,-4.96,1.69
35,-7.05,-7.13,-4.5,0.52
36,-7.69,-6.61,-5.65,-1.86
37,-0.81,-2.37,-2.02,4.1
38,5.94,2.49,2.09,9.78
39,5.05,4.11,1.9,5.36
40,2.12,2.21,2.32,-3.42
41,1.53,1.64,4.96,-6.28
42,2.12,1.87,3.95,-1.08
43,2.46,2.57,1.45,1.59
44,4.34,3.67,2.86,-1.74
45,5.19,0.86,2.15,-2.7
46,-0.09,-4.04,-2.72,-3.97
47,-4.18,-6.01,-3.17,-6.86
48,-6.0,-6.39,-2.37,-8.28
49,-8.64,-6.36,-4.58,-8.56
50,-7.56,-5.07,-3.99,-4.57
51,-5.26,-3.4,-1.41,-0.17
52,-3.73,-1.23,-0.06,2.41
53,-0.59,1.25,1.03,2.45
54,0.73,-0.21,0.75,-5.06
55,-2.97,-3.01,-0.37,-12.64
56,-5.63,-0.38,1.35,-9.35
57,-2.92,1.6,2.8,0.24
58,1.01,1.91,2.18,7.14
59,4.93,6.76,4.94,8.36
60,7.89,11.81,8.18,2.47
61,4.21,9.29,3.08,-6.11
62,-3.61,2.56,-3.73,-10.9
63,-6.55,0.75,-3.97,-6.77
64,-4.84,1.31,-3.28,1.24
65,-3.19,2.99,-0.92,3.62
66,-1.68,5.79,2.06,2.36
67,-1.37,4.25,0.22,-2.0
68,-0.21,-1.6,-2.33,-2.34
69,2.68,-6.24,-0.43,2.78
70,0.59,-2.04,3.87,-1.35
71,-2.96,4.55,4.68,-9.57
72,0.82,6.36,3.38,-4.58
73,6.49,2.52,1.43,3.55
74,9.09,-7.58,-2.08,1.29
75,10.82,-3.44,-2.22,-15.43
76,10.31,15.11,0.8,-37.34
77,-0.19,18.78,1.09,-29.37
78,-20.89,17.58,0.35,-4.76
79,-35.28,26.7,3.19,-22.8
80,-38.33,9.81,2.25,-72.81
81,-38.0,-17.88,-12.06,-52.11
82,-41.25,13.12,-13.19,24.5
83,-51.57,20.49,-12.39,17.38
84,-81.66,-20.78,-17.32,8.19
85,-114.75,3.86,12.93,79.47
86,-84.96,11.34,26.39,69.09
87,-19.75,-84.79,-15.32,-0.95
88,5.45,-91.23,-64.32,20.37
89,41.06,20.99,-66.59,106.05
90,107.79,91.73,11.84,148.31
91,137.71,155.95,103.5,83.21
92,116.74,128.99,97.43,-8.24
93,64.57,24.73,25.57,-24.7
94,25.79,-2.72,-25.7,-17.94
95,16.97,-45.29,-47.19,-36.91
96,16.39,-65.0,-40.66,-35.81
97,31.33,-6.86,-18.86,-16.96
98,42.33,-12.98,-7.97,-18.58
99,28.94,-43.25,-9.19,-17.67
100,11.14,-13.23,-14.44,-3.13
101,4.68,-7.63,-17.28,-4.62
102,20.8,-37.69,-1.8,-14.04
103,41.98,-26.48,22.45,-2.86
104,40.42,18.72,44.41,9.77
105,31.74,41.68,69.03,-2.69
