,ch1,ch2,ch3,ch4
0,-0.47,-2.42,-3.02,0.51
1,4.13,4.28,5.74,7.26
2,5.52,5.56,7.72,8.26
3,0.86,1.31,1.52,3.77
4,1.56,1.31,1.45,1.85
5,5.18,4.27,5.66,1.91
6,6.1,4.33,6.61,-0.39
7,6.43,4.91,6.7,1.49
8,9.29,9.8,9.76,7.44
9,7.88,8.92,8.88,7.43
10,-0.41,3.26,1.08,4.39
11,-3.36,2.96,-3.08,2.73
12,1.32,5.64,-0.43,1.33
13,6.52,6.65,2.36,-0.41
14,6.69,4.23,0.6,-1.06
15,0.61,1.84,-2.67,-0.83
16,-3.59,0.97,-2.32,-2.75
17,-1.12,0.19,0.52,-2.01
18,-0.45,-1.42,-1.11,-1.86
19,-3.66,-3.99,-6.69,-1.81
20,-2.76,-1.51,-4.5,6.92
21,0.1,1.28,1.4,11.82
22,-1.01,-2.92,0.33,4.44
23,-1.5,-5.67,-0.19,-4.06
24,-0.45,-5.03,2.01,-5.83
25,-3.58,-5.73,0.12,-6.47
26,-4.31,-3.13,-1.33,-6.55
27,3.41,4.0,2.68,5.8
28,8.88,7.31,6.64,19.56
29,4.54,4.86,6.75,14.41
30,-1.33,3.34,6.78,-1.96
31,-3.74,0.94,6.8,-17.06
32,-7.11,-5.03,2.14,-26.13
33,-11.35,-8.45,-3.5,-25.11
34,-9.51,-6.31,-5.48,-12.81
35,-1.02,-1.45,-6.75,3.55
36,6.09,1.31,-6.6,13.86
37,6.98,-1.4,-4.1,16.44
38,5.21,-4.65,-0.37,17.38
39,3.81,-2.43,1.28,18.44
40,2.25,1.66,1.09,12.51
41,0.97,1.08,3.34,3.26
42,-3.77,-4.16,1.06,-6.52
43,-8.92,-6.38,-5.98,-18.23
44,-11.32,-6.11,-11.13,-27.57
45,-10.87,-5.76,-11.23,-28.46
46,-9.79,-8.18,-7.73,-20.91
47,-9.93,-8.85,-6.1,-12.4
48,-0.43,4.75,-2.26,-2.9
49,8.15,6.43,0.77,2.92
50,3.66,-9.51,-3.18,-0.07
51,-0.16,-8.56,-2.97,1.6
52,-0.16,3.12,8.52,-3.15
53,-0.86,9.88,16.35,-20.24
54,-1.75,10.99,7.31,-25.98
55,1.87,2.39,-7.38,-32.52
56,-0.36,-4.93,-10.98,-21.32
57,-16.8,6.29,-5.71,21.92
58,-12.12,23.65,-7.37,39.03
59,3.65,21.85,-11.57,8.34
60,-17.68,18.52,-3.62,-44.95
61,-41.39,48.11,10.47,-45.22
62,-31.74,42.08,4.5,32.0
63,-15.42,14.04,-15.31,46.75
64,-0.43,0.71,-7.59,-17.21
65,6.77,-58.4,25.11,6.99
66,-0.94,-53.97,37.99,110.26
67,0.22,0.95,-9.98,136.11
68,8.08,-3.68,-67.5,74.12
69,4.87,-13.03,-69.06,11.69
70,7.53,24.76,-35.14,-10.13
71,16.9,54.95,11.43,-6.54
72,29.08,35.53,55.26,-5.63
73,59.76,24.7,92.36,1.15
74,66.11,39.17,92.56,-5.33
75,30.45,64.61,34.19,-37.12
76,-5.12,54.77,-16.01,-44.46
77,-11.08,35.79,-12.25,-13.1
78,18.68,77.75,12.83,8.86
79,40.5,95.59,25.64,4.07
80,29.76,36.65,3.42,2.85
81,12.42,-2.43,-40.9,-2.39
82,-2.46,23.62,-33.71,-17.13
83,-1.58,56.68,21.9,-4.61
84,29.8,45.51,49.56,20.92
85,50.65,2.07,28.36,22.45
86,43.77,-35.81,-2.64,13.67
87,28.85,-61.1,-11.45,7.99
88,-5.05,-81.32,12.77,-2.08
89,-23.91,-85.27,45.52,-13.29
90,-8.18,-78.95,35.81,-9.93
91,-16.89,-94.28,-3.95,-2.81
92,-29.23,-102.86,-36.93,-8.31
93,2.82,-87.38,-68.79,-10.39
94,12.5,-98.22,-62.58,-11.12
95,-36.85,-114.0,-7.08,-25.56
96,-56.98,-84.53,19.35,-31.58
97,-36.15,-59.4,6.58,-18.88
