,ch1,ch2,ch3,ch4
0,0.88,1.19,2.31,8.41
1,2.62,4.15,1.91,6.75
2,6.54,6.1,1.99,4.81
3,2.39,0.98,-1.52,1.64
4,-5.85,-4.75,-5.09,-4.45
5,-3.49,-1.35,-0.69,-2.43
6,-2.35,1.82,0.03,-1.92
7,-0.68,2.65,-1.28,-0.73
8,8.4,4.77,2.79,7.54
9,9.35,3.11,2.06,9.1
10,2.31,-0.42,-1.73,2.28
11,-4.02,-3.23,-3.19,-6.43
12,-4.6,-3.45,-2.02,-9.31
13,-1.19,-1.19,-0.18,-6.66
14,-0.22,-0.39,0.27,-4.53
15,1.86,2.17,2.72,-1.62
16,3.72,3.51,1.87,-0.69
17,4.14,1.28,1.01,0.28
18,0.34,-0.91,2.79,-0.5
19,-4.5,-2.29,2.68,-5.07
20,-1.08,-2.32,1.44,-3.37
21,-1.3,-4.75,-4.3,-0.44
22,-6.13,-6.37,-6.5,-3.27
23,-8.12,-5.82,-3.27,-9.25
24,-7.84,-5.33,-0.33,-11.96
25,-3.04,-0.84,2.56,-3.73
26,-0.18,4.25,1.64,4.52
27,3.19,6.55,3.02,5.88
28,4.46,2.57,3.42,2.05
29,-0.34,-2.54,0.3,-4.53
30,0.09,0.04,2.16,-3.94
31,-0.81,-0.12,-0.8,-1.66
32,-2.47,-2.19,-3.57,1.83
33,0.08,1.31,0.87,6.05
34,3.09,5.39,3.93,4.01
35,3.73,3.99,3.23,-0.49
36,-2.32,-2.8,-2.52,-5.99
37,-0.79,-2.51,-3.64,-3.61
38,4.39,0.74,-2.5,0.95
39,1.32,-1.17,-4.23,1.2
40,-0.94,-1.32,-2.37,2.9
41,-2.37,-2.87,-3.05,0.69
42,0.99,-2.58,-2.36,4.42
43,1.97,-1.66,-1.95,8.51
44,-5.68,-4.74,-6.3,1.8
45,-5.75,-3.54,-3.83,-1.73
46,-0.61,-1.29,-0.73,-2.59
47,-0.64,-2.03,-2.4,-2.62
48,-4.14,-2.34,-2.56,-3.0
49,-5.05,-0.95,0.85,-5.28
50,-4.18,0.47,3.2,-6.45
51,-5.74,0.09,0.49,-6.42
52,-3.72,1.78,2.96,-4.05
53,0.43,4.52,5.93,-7.0
54,0.95,5.05,2.73,-8.74
55,-2.12,5.03,2.49,-1.54
56,-4.51,2.06,0.85,3.82
57,0.64,0.8,0.84,6.82
58,0.54,4.1,4.27,4.33
59,-5.99,8.33,5.27,-0.43
60,-2.6,11.82,7.07,0.39
61,3.06,5.71,3.18,-3.97
62,-0.02,-4.64,-2.37,-9.57
63,-8.21,-6.45,-0.24,-4.93
64,-6.6,-1.15,5.26,4.83
65,4.13,4.21,6.04,4.56
66,5.27,2.33,-2.85,-12.72
67,-15.82,1.2,-7.89,-37.82
68,-29.24,10.16,0.26,-49.03
69,-12.61,7.55,2.12,-21.74
70,-21.04,5.36,-3.94,27.32
71,-26.81,38.29,-3.99,36.47
72,-7.04,54.88,-1.93,5.4
73,-24.32,14.04,-8.09,-16.88
74,-26.91,-24.61,-21.75,-14.01
75,8.48,-58.2,-20.91,24.86
76,2.42,-56.2,-12.76,46.78
77,-48.46,13.19,-23.94,21.17
78,-56.87,15.21,-30.55,21.94
79,-14.14,-41.42,-12.45,46.96
80,30.23,-25.54,0.66,43.13
81,65.86,38.49,7.69,24.53
82,65.19,30.63,18.61,11.22
83,43.44,-45.38,10.9,0.67
84,25.67,-56.5,-11.27,-11.48
85,8.01,-12.52,-23.7,-19.89
86,10.89,-3.4,-20.13,-22.25
87,34.07,18.68,-5.22,-18.69
88,24.49,76.41,-5.91,-15.69
89,3.27,126.52,-13.01,-16.72
90,25.54,153.74,6.08,-0.75
91,22.5,104.68,13.1,7.91
92,-11.69,19.56,-11.46,-10.88
93,7.83,37.06,-13.82,-16.53
94,38.08,94.24,16.62,-6.42
95,14.7,50.78,21.69,-6.11
96,-14.68,-22.72,8.0,-8.32
97,-7.96,-38.23,30.78,1.33
98,13.15,4.1,53.73,7.98
99,20.81,44.81,26.86,2.63
100,21.09,3.63,-6.04,0.95
101,11.73,-80.04,-1.6,2.77
102,8.12,-81.53,29.69,5.41
103,35.46,-27.74,67.93,11.01
104,54.61,-40.45,86.57,20.93
105,35.38,-44.7,70.52,27.43
106,3.62,-23.41,37.85,21.87
107,-8.27,-71.03,8.88,16.1
108,-6.28,-91.9,-10.88,6.88
109,-7.7,-43.86,-21.44,-13.61
110,-10.51,-40.31,-28.9,-26.28
111,-17.17,-74.42,-36.92,-22.05
112,-20.68,-68.93,-38.56,-8.48
113,-13.93,-52.34,-31.49,5.69
114,-14.99,-60.7,-12.94,8.6
115,-20.84,-43.38,9.03,-2.32
116,-18.81,-13.18,10.17,-5.58
117,-16.86,-13.58,-5.51,15.9
118,-19.94,-4.55,-12.68,28.7
119,-21.86,4.71,-15.32,9.38
120,-16.44,-14.6,-19.57,-17.31
121,-11.39,-25.14,-9.6,-33.48
122,-10.75,0.95,8.58,-31.12
123,-13.6,48.14,17.5,-21.13
124,-12.5,84.42,19.91,-20.41
125,-3.19,94.27,24.47,-19.41
126,-4.38,84.66,21.31,-17.48
127,-20.55,72.58,4.14,-16.79
128,-28.8,46.3,-7.52,-14.3
129,-16.26,18.63,4.06,-11.18
130,-6.39,-4.03,14.6,-4.98
131,-15.24,-33.75,-7.76,-2.97
132,-21.23,-19.79,-25.09,-9.0
133,-19.41,-3.75,-24.1,-30.5
134,-16.01,-37.34,-35.34,-34.7
135,-13.81,-63.18,-32.02,-4.29
136,-14.91,-65.41,-16.01,4.23
137,-6.54,-44.78,-14.73,10.79
138,7.33,11.04,-13.52,27.07
139,16.68,44.78,-6.96,26.59
140,7.86,1.0,-10.91,17.65
141,-4.34,-59.29,-22.32,10.09
142,6.14,-78.19,-17.37,42.83
143,3.15,-57.89,-6.23,75.9
144,-2.94,-12.45,-7.98,32.3
145,7.36,3.15,-17.54,-19.99
146,-7.27,-25.22,-25.52,-7.76
147,-20.13,-60.15,-25.05,12.92
148,-5.23,-74.28,-22.43,6.48
149,7.64,-58.98,-17.9,-2.57
150,10.49,-33.2,-11.07,-3.67
151,10.27,-23.89,-16.3,-5.74
152,19.06,-16.18,-19.69,-9.44
153,19.17,-17.08,-10.88,-5.54
154,4.95,-39.19,-0.6,10.31
155,6.23,-12.75,21.86,26.06
156,9.62,36.31,36.61,15.44
157,11.77,39.24,7.1,-4.39
158,20.71,25.86,-30.01,-15.72
159,14.33,12.14,-3.72,-23.37
160,3.19,4.59,47.86,-13.85
161,5.7,42.57,52.79,-1.32
162,10.92,83.75,38.66,1.23
163,9.74,65.41,22.84,4.77
164,7.7,25.7,5.32,11.46
165,7.55,6.6,8.57,10.79
166,5.2,22.74,21.25,-5.68
167,3.53,50.81,28.87,-12.71
168,-0.35,51.38,21.82,-6.94
169,0.66,38.47,-2.36,-5.22
170,7.58,36.38,-7.05,-2.75
171,-3.19,27.61,9.75,-5.42
172,-11.49,12.5,11.09,-6.74
173,-1.91,19.26,-2.42,-3.22
174,-0.14,33.08,-5.36,-7.64
175,0.47,27.79,0.49,-11.28
176,3.35,16.57,-10.13,-10.71
177,1.41,20.57,-16.56,-7.13
178,3.58,21.66,-3.05,0.65
179,11.22,13.69,2.57,8.69
180,14.82,20.59,2.87,12.9
181,1.97,15.61,1.12,5.4
182,-2.62,-7.75,-5.51,1.16
183,15.53,1.69,0.29,6.71
184,23.07,29.13,17.3,10.32
185,9.61,17.0,14.82,8.55
186,-5.01,-12.04,-7.0,-1.37
187,-2.88,-10.49,-6.77,0.94
188,4.36,-4.02,6.18,11.26
189,7.76,-7.02,6.15,8.66
190,13.7,0.01,7.98,6.07
191,12.55,2.29,11.04,7.5
192,2.41,-12.05,4.87,3.53
193,-7.23,-22.53,-3.11,-5.38
194,-3.3,-14.35,1.36,-3.64
195,6.2,-8.83,6.95,5.21
196,2.14,-15.64,-1.63,3.33
197,-1.73,-11.17,-2.27,2.06
198,-1.36,-6.95,1.59,1.75
199,-5.28,-14.96,-5.76,-6.34
200,-7.7,-11.78,-7.94,-12.34
201,-9.64,-3.86,-5.86,-12.55
202,-8.27,-8.59,-6.25,-1.05
203,-5.1,-12.26,-6.0,8.38
204,-4.71,-2.37,-2.41,3.51
205,-3.7,4.43,1.82,1.46
206,-4.69,-1.0,-0.3,0.09
207,-6.55,-1.92,0.46,-5.43
208,-7.43,-0.61,2.95,-8.44
209,-3.71,-0.88,0.69,-2.39
210,2.64,7.32,1.88,9.2
211,0.12,11.37,2.96,10.2
212,-6.51,3.2,-1.19,3.55
213,-11.71,-4.65,-7.64,-0.26
214,-11.23,-5.89,-8.79,0.21
215,-3.64,-2.78,-2.01,1.08
216,-2.63,0.17,-0.82,-4.36
217,-1.91,3.45,-4.22,-5.32
218,1.32,3.81,-5.02,-0.54
219,-5.81,-3.9,-5.24,-3.36
220,-14.51,-11.14,-3.43,-9.04
221,-17.55,-14.47,-3.36,-11.65
222,-11.58,-13.17,-0.92,-7.15
223,-0.82,-4.4,4.18,-1.21
224,0.06,0.66,0.89,-2.29
225,-4.08,-2.45,-5.6,-2.91
226,-2.84,-3.52,-6.16,-0.96
227,5.34,3.42,-0.82,4.72
228,10.14,8.86,3.0,8.5
229,7.65,6.79,4.0,4.3
230,4.54,4.92,5.11,0.55
231,-0.25,2.5,1.51,-2.41
232,-1.08,-0.06,-1.26,-3.37
233,-1.04,1.66,-0.48,-4.84
234,-1.48,8.99,2.91,-4.29
235,3.62,15.54,6.77,3.53
236,5.88,12.36,1.44,7.06
237,6.45,7.9,-2.96,8.4
238,1.28,2.68,-3.35,3.87
239,-9.2,-5.18,-5.86,-7.59
240,-11.31,-5.84,-6.35,-12.99
241,-8.93,-3.56,-6.42,-13.8
242,-0.89,-0.68,0.36,-8.12
243,7.39,2.26,7.22,0.83
244,5.24,0.78,3.42,4.64
245,0.24,-1.98,-1.39,1.91
246,-4.46,-3.6,-2.84,-3.48
247,-2.67,0.51,3.85,1.87
248,5.87,7.72,12.28,12.18
249,10.7,9.6,12.11,14.25
250,7.78,3.63,4.51,9.5
251,-1.67,-4.51,-5.93,1.56
252,-4.0,-2.79,-4.04,3.5
253,-0.34,0.7,2.71,6.14
254,-2.36,-2.27,-0.23,-3.23
255,-6.67,-3.78,-5.77,-12.14
256,-8.67,-5.43,-8.82,-15.33
257,-4.61,-5.45,-3.04,-8.39
258,-2.43,-3.68,1.11,-0.8
259,-3.68,-4.21,-2.46,-1.58
260,1.23,-4.82,-1.64,-0.09
261,5.48,-4.9,-0.91,5.61
262,2.42,-4.01,-2.14,9.0
263,-5.89,-7.22,-5.59,2.71
264,-7.75,-10.56,-7.91,-7.63
265,-2.07,-6.34,-3.78,-11.62
266,-2.49,-1.96,-1.26,-7.17
267,-1.01,2.67,2.27,5.02
268,3.94,6.9,4.98,10.68
269,1.37,3.38,1.08,9.6
270,-5.74,-2.62,-1.6,5.85
271,-10.39,-2.81,-1.03,-12.43
272,-1.78,4.51,5.77,-25.24
273,9.84,10.13,11.91,-19.61
274,8.25,7.14,8.07,-10.73
275,5.46,3.39,4.97,1.97
276,7.73,1.91,2.62,13.22
277,8.12,0.48,-4.11,18.23
278,3.03,-0.65,-10.3,22.73
279,-0.25,-1.57,-8.74,26.25
280,-0.11,-3.07,-3.79,20.77
281,-5.36,-4.15,-6.03,2.94
282,-4.78,2.13,-3.09,-6.42
283,4.48,9.07,4.31,-4.68
284,8.66,5.92,3.17,-5.66
285,5.6,-1.23,0.96,-5.56
286,-2.84,-5.97,-0.21,-7.78
287,-9.01,-6.66,-1.87,-12.21
288,-9.37,-5.11,-4.17,-14.15
289,-3.46,-1.55,-1.85,-10.25
290,3.01,-0.79,0.59,-4.66
291,-0.58,-5.03,-5.54,-6.25
292,2.6,3.34,3.2,1.6
293,10.93,15.09,17.14,12.01
294,7.35,11.02,11.61,10.16
295,4.43,8.9,9.4,11.49
296,2.05,9.24,11.74,9.45
297,-1.53,2.92,6.98,1.31
298,-1.52,0.57,3.75,-3.55
299,0.2,2.67,4.06,-4.47
300,4.32,3.37,3.03,-0.58
301,3.58,2.52,-0.86,0.85
302,-0.43,1.06,-1.45,0.53
303,-6.45,-4.87,-2.99,-3.99
304,-10.64,-10.2,-4.56,-8.27
305,-8.07,-9.35,-3.52,-3.84
306,-8.53,-9.0,-9.43,-3.47
307,-3.84,-5.53,-10.12,-4.05
308,5.17,0.71,-3.26,-3.98
309,5.37,3.5,-1.04,-6.21
310,1.49,2.33,-0.8,-4.41
311,-1.07,-1.43,-2.49,1.36
312,-0.62,-2.03,-3.37,10.24
313,-2.68,-2.71,-5.72,9.84
314,-2.85,-3.44,-6.78,3.25
315,2.47,-0.67,-2.26,3.3
316,1.37,-1.03,-3.06,2.93
317,0.44,-1.97,-3.81,3.27
318,2.92,-0.4,-1.3,5.79
319,4.36,2.28,1.52,9.54
320,7.44,4.82,5.65,12.55
321,4.44,0.95,2.34,8.1
322,-1.58,-5.14,-3.51,2.08
323,-4.33,-6.14,-3.73,-3.66
324,-2.45,-0.16,2.25,-5.11
