,ch1,ch2,ch3,ch4
0,-6.79,-3.5,-6.1,-6.26
1,-7.23,-7.18,-8.54,-0.97
2,0.07,-0.39,-1.28,-0.53
3,5.78,7.55,6.37,-1.33
4,6.18,9.76,6.6,-1.45
5,3.7,6.48,-0.32,-2.57
6,2.51,2.39,-2.6,-1.15
7,1.56,0.57,0.93,2.5
8,4.32,3.72,5.63,10.7
9,5.06,4.3,6.54,14.02
10,1.4,-0.88,2.86,5.67
11,-0.39,-3.44,-0.78,-0.98
12,-2.0,-4.27,-4.0,-1.42
13,-2.89,-6.28,-6.22,-3.54
14,-4.58,-9.18,-9.32,-10.59
15,-6.99,-10.65,-9.35,-12.24
16,-7.51,-9.36,-5.46,-5.6
17,-7.34,-7.56,-3.96,-2.6
18,-5.46,-4.61,-1.16,-2.09
19,-6.33,-3.36,-1.15,-4.01
20,-7.36,-4.66,-4.86,-6.19
21,-4.37,-4.59,-4.54,-0.15
22,0.39,0.0,-0.11,3.83
23,8.69,9.78,8.24,-2.4
24,9.95,12.35,11.66,-8.53
25,4.39,7.4,8.78,-2.28
26,4.59,5.73,6.6,7.44
27,9.41,5.54,5.71,10.6
28,9.58,5.09,6.53,10.85
29,-2.97,0.35,2.13,4.8
30,-11.88,-7.02,-4.8,1.29
31,-5.75,-7.91,-4.21,10.28
32,4.47,0.76,4.78,19.29
33,10.77,9.79,13.95,14.53
34,3.61,6.78,12.38,-9.21
35,-8.82,-0.24,6.33,-32.9
36,-11.52,-1.04,3.47,-30.39
37,-6.5,2.34,2.85,-8.43
38,0.9,4.17,2.26,8.78
39,3.63,0.49,-4.38,10.57
40,3.88,-2.31,-9.21,9.57
41,6.93,-1.67,-6.36,16.91
42,10.8,-0.6,-4.19,24.43
43,12.29,1.71,-3.19,23.02
44,5.0,0.44,-6.38,10.74
45,-3.71,-4.06,-9.74,-3.83
46,-5.18,-4.87,-7.85,-11.16
47,-6.29,-2.62,-8.14,-13.65
48,-6.53,-3.65,-7.69,-13.09
49,-5.13,-7.81,-4.12,-11.54
50,-3.24,-4.47,-1.9,-10.18
51,0.85,0.87,0.88,-8.32
52,1.3,-2.03,3.43,-8.01
53,-1.88,-4.08,2.47,-3.68
54,-4.78,-1.27,-0.84,3.05
55,-2.63,4.68,-1.48,4.01
56,3.56,7.8,2.8,-0.48
57,5.77,4.54,7.84,-1.31
58,8.34,2.49,9.15,8.84
59,7.42,1.47,2.76,10.7
60,-0.7,0.18,-2.66,-0.64
61,-7.26,-2.65,-3.31,-9.79
62,-11.13,-2.72,-4.89,-20.13
63,-6.6,8.19,0.65,-23.82
64,0.7,17.96,6.51,-14.2
65,-2.7,16.91,2.65,-7.05
66,-5.46,11.96,-1.07,-1.57
67,-0.04,8.21,2.3,11.72
68,0.99,5.99,6.89,16.72
69,-11.51,6.86,4.75,6.46
70,-17.48,8.4,2.47,-7.68
71,-9.8,18.65,3.7,-18.66
72,-5.65,24.76,0.95,-18.42
73,-12.01,-8.2,-11.57,-5.57
74,-28.91,-25.98,-25.87,2.72
75,-30.21,-0.62,-17.66,7.04
76,-19.61,10.77,0.78,4.79
77,-2.09,-0.09,0.93,-43.72
78,9.81,-40.56,-16.72,-67.27
79,-21.0,-54.06,-46.39,16.79
80,-32.87,11.87,-38.19,82.18
81,-13.22,48.89,28.59,77.96
82,11.66,34.09,66.07,67.6
83,49.01,51.73,29.28,31.85
84,55.69,74.48,-7.04,17.18
85,44.43,68.39,15.58,38.45
86,48.7,41.54,44.06,36.12
87,49.65,-8.09,24.58,19.52
88,32.41,-13.62,-7.97,2.59
89,14.03,32.04,-24.56,-17.34
90,2.28,41.57,-34.26,-18.14
91,-10.3,18.19,-35.75,-7.95
92,-10.09,-5.41,-24.66,-15.37
93,7.94,-20.36,-7.47,-19.93
94,13.89,-0.72,3.88,-14.82
95,5.23,6.76,17.93,-14.03
96,-7.57,-55.72,15.77,-16.82
97,-18.55,-102.75,-37.73,-19.12
98,-8.11,-59.01,-71.31,-19.08
99,6.08,-10.2,-41.99,-18.96
100,9.18,-24.65,-8.59,-6.16
101,8.03,-72.44,41.63,5.15
102,0.13,-94.75,109.99,-6.26
103,-9.76,-73.26,117.74,-5.24
104,-5.73,-55.79,49.53,5.46
105,12.03,-37.22,-19.05,-7.88
106,9.53,-6.63,-16.38,-24.84
107,-14.03,12.55,40.84,-18.6
108,-10.86,17.16,54.55,-0.52
109,6.79,3.36,-4.29,-0.11
110,0.46,-7.25,-48.21,-10.12
111,-13.44,-13.59,-44.99,-12.95
112,-11.82,-22.58,-30.57,-13.85
113,-7.95,-15.17,-8.63,-6.76
114,-13.58,7.74,9.86,7.46
115,-8.33,39.15,4.34,11.3
116,2.93,63.03,-18.24,-0.42
117,-2.6,55.78,-23.44,-7.78
118,-10.4,26.52,0.42,-0.6
119,-15.52,13.52,23.32,-1.44
120,-22.66,30.6,37.44,-10.6
121,-18.17,46.72,19.33,-11.12
122,-9.12,30.91,-19.59,-5.57
123,-3.63,32.82,-12.95,-1.35
124,-2.02,69.76,17.35,-5.09
125,2.22,77.84,30.07,-8.44
126,7.24,61.6,34.52,-0.34
127,-4.64,41.92,13.74,8.4
128,-19.75,8.04,-25.83,5.37
129,-18.24,-36.35,-33.38,-10.59
130,-10.72,-66.27,-1.68,-19.08
131,-3.02,-55.2,13.91,0.36
132,10.07,-38.82,-8.46,24.21
133,13.66,-43.33,-18.75,12.18
134,7.97,-41.15,-13.97,-25.89
135,-0.3,-43.73,-28.16,-21.5
136,-7.61,-41.52,-32.62,19.75
137,2.56,-29.15,-11.73,26.13
138,9.63,-39.81,-15.95,-7.07
139,8.54,-62.41,-30.47,-43.25
140,16.8,-76.55,-6.68,-12.6
141,4.25,-58.32,10.05,65.29
142,-22.97,-29.88,-12.52,89.88
143,-26.34,-27.33,-31.79,66.12
144,-11.14,-26.43,-18.45,5.6
145,3.24,-11.76,-5.47,-79.38
146,7.15,-0.48,-11.03,-72.87
147,7.75,-24.86,-23.53,13.93
148,6.54,-44.55,-39.11,50.97
