,ch1,ch2,ch3,ch4
0,-12.25,-5.39,-9.14,-9.46
1,-4.83,-1.17,-2.72,0.09
2,4.62,2.66,3.44,16.6
3,-1.29,-3.42,-3.66,10.0
4,-8.61,-8.07,-10.95,-2.51
5,-6.76,-6.67,-10.39,-5.75
6,3.68,-0.7,-4.62,0.61
7,10.92,5.59,2.52,8.03
8,4.87,1.21,3.49,4.49
9,2.47,-5.21,4.11,7.26
10,1.88,-4.51,3.37,8.12
11,-2.21,0.25,2.91,-7.15
12,-5.29,0.29,5.96,-24.13
13,-9.64,-5.54,2.12,-30.23
14,-7.24,-3.56,-0.66,-16.15
15,-2.2,-0.45,-1.14,2.32
16,1.28,-0.23,-4.54,10.18
17,6.26,4.77,-4.96,15.08
18,8.02,7.51,-3.82,15.8
19,7.19,6.28,-1.55,14.95
20,3.54,0.25,-1.54,13.62
21,3.43,-7.68,-1.67,14.69
22,7.29,-9.68,1.13,11.93
23,2.4,-6.36,0.51,-5.46
24,-6.51,0.15,-2.91,-12.45
25,-10.68,6.75,-5.88,-7.12
26,-4.57,13.12,-1.61,-1.39
27,3.56,10.57,3.13,2.99
28,2.41,-3.37,1.03,-6.23
29,1.98,-8.1,3.16,-11.58
30,-2.25,-2.58,1.24,-9.02
31,-9.65,0.16,-5.25,-14.13
32,-7.15,0.73,-3.38,-10.3
33,-2.03,-0.78,-0.81,5.74
34,0.99,-0.98,-1.15,11.7
35,2.53,2.3,-0.34,-1.02
36,1.82,2.86,2.76,-13.14
37,-0.93,-1.11,3.45,-6.36
38,-0.27,-2.71,0.67,6.54
39,4.9,-0.18,0.38,5.69
40,1.27,-3.74,-0.7,-7.97
41,-4.24,-7.75,-0.71,-16.4
42,-0.33,-2.81,0.51,-10.68
43,1.08,-0.39,-0.74,2.64
44,-1.64,-2.08,1.32,13.65
45,-1.28,-1.12,2.06,13.07
46,3.96,1.29,2.4,6.25
47,6.71,0.14,4.7,-1.19
48,-0.84,-5.72,0.76,-7.3
49,-4.11,-6.3,-3.15,-1.83
50,-0.03,-2.03,-3.24,6.3
51,0.14,1.61,-0.21,8.25
52,-1.33,4.65,4.18,5.74
53,-1.26,3.67,4.41,2.06
54,0.29,-0.31,3.52,5.43
55,0.94,-2.53,1.06,5.46
56,4.91,0.74,0.14,3.94
57,12.34,4.86,3.28,11.67
58,11.52,4.29,3.01,15.74
59,2.42,0.76,-0.7,7.01
60,-2.35,-3.32,-4.34,-1.4
61,2.67,-2.7,-3.06,4.65
62,4.77,1.44,1.86,9.27
63,3.05,2.71,3.08,2.63
64,9.02,4.41,1.89,-1.5
65,9.3,6.67,-0.31,-1.99
66,0.05,5.05,0.46,-4.05
67,-4.73,1.08,2.77,-10.01
68,-3.9,-0.36,2.0,-10.6
69,0.14,2.19,2.38,1.6
70,-3.71,-1.98,-3.11,7.84
71,-10.38,-8.35,-10.16,4.89
72,-8.48,-6.95,-9.02,-1.15
73,-6.76,-4.19,-5.29,-8.56
74,-2.86,0.08,0.36,-6.19
75,1.58,2.84,2.44,-4.48
76,4.11,3.02,3.3,-5.23
77,1.83,0.46,5.37,-1.53
78,-8.31,-5.57,1.98,-5.34
79,-9.61,-5.75,-1.48,-14.81
80,-4.86,-3.62,-3.68,-21.85
81,-0.57,-5.46,-3.97,-11.08
82,1.52,-8.01,-3.52,11.07
83,-3.28,-5.32,-3.71,8.27
84,1.81,3.13,1.01,-6.8
85,10.56,3.35,0.87,-5.86
86,5.12,-4.47,-3.45,3.0
87,-10.03,-3.21,-1.91,-2.09
88,-20.97,9.03,1.64,-18.95
89,-17.99,22.35,6.47,-16.09
90,-8.2,34.31,10.32,-8.32
91,3.5,47.33,17.61,-11.82
92,13.28,42.27,23.48,-0.86
93,15.8,25.59,19.61,-31.42
94,-1.98,17.89,13.25,-82.76
95,-27.1,-2.38,0.85,-32.16
96,-29.13,-2.11,-4.73,36.46
97,-22.95,11.94,-7.99,-9.44
98,-11.9,-8.74,-18.38,-32.49
99,9.82,-10.11,-12.43,55.34
100,7.47,62.4,-12.03,101.83
101,-4.53,183.64,-10.33,89.53
102,5.79,167.34,17.82,62.26
103,5.21,-4.95,29.7,22.88
104,10.67,-54.62,24.0,12.45
105,22.45,28.69,6.06,25.08
106,8.78,69.0,-29.33,37.4
107,-4.61,0.35,-43.51,47.99
108,-16.87,-75.49,-38.1,38.6
109,-9.89,-31.16,-34.05,-5.42
110,24.74,-7.15,-26.44,-33.25
111,38.65,-30.46,-9.53,-30.68
112,3.47,-16.26,-1.04,-26.59
113,-40.58,-32.99,-15.12,-11.21
114,-31.19,-52.73,-23.47,3.16
115,9.1,-19.42,-10.02,-20.03
116,28.42,17.05,6.16,-39.0
117,18.37,-15.2,9.0,-13.6
118,-5.28,-71.28,8.37,-10.27
119,-1.57,-62.47,16.87,-29.41
120,32.55,-27.78,8.14,-6.42
121,49.36,-32.91,-18.7,17.74
122,27.1,-67.36,-14.37,-4.81
123,5.54,-55.02,18.11,-18.92
124,19.96,-22.52,43.11,-4.3
125,37.31,-48.94,58.37,-7.51
126,44.58,-56.59,53.73,-1.12
127,51.91,-16.07,21.62,33.28
128,43.85,-1.21,12.66,36.91
129,18.4,-9.66,42.38,9.4
130,-0.19,-6.79,58.32,4.13
131,4.83,8.71,45.48,17.95
132,6.0,20.95,11.81,12.12
133,-15.07,13.37,-29.54,-5.09
134,-23.28,-6.7,-28.99,-7.47
135,-2.16,-9.6,4.09,-11.89
136,5.82,2.99,22.61,-22.44
137,-20.55,11.16,28.84,-27.08
138,-42.09,6.61,4.19,-37.49
139,-39.15,6.67,-25.22,-31.02
140,-38.04,14.98,-14.83,-1.53
141,-40.91,11.6,-5.15,-7.93
142,-29.65,23.47,-17.12,-50.27
143,-9.72,49.15,-16.37,-50.76
144,-3.55,58.4,6.65,-18.95
145,-19.85,55.35,19.19,-13.29
146,-30.43,25.1,13.8,-5.84
147,-32.81,-33.73,-3.86,13.68
148,-39.91,-63.11,-26.44,3.53
149,-29.18,-26.65,-25.61,-49.15
150,-4.52,29.68,-13.85,-56.99
151,9.29,22.19,-8.79,21.87
152,-5.48,-66.78,1.32,38.62
153,-24.53,-99.89,33.04,-28.02
154,-12.25,-16.62,79.95,-55.96
155,-10.8,12.58,84.1,0.53
156,-19.02,-57.36,43.66,110.06
157,-8.96,-89.96,14.48,112.3
158,-3.62,-47.57,8.46,21.69
159,12.11,-0.53,14.13,-6.51
160,26.36,-13.76,9.89,-35.5
161,2.25,-42.9,-16.31,-50.49
162,-22.89,-34.85,-38.27,48.0
163,-14.76,-57.0,-50.44,142.73
164,3.08,-101.84,-65.48,122.28
165,16.33,-86.39,-66.37,29.37
166,26.17,-25.09,-45.23,-30.95
167,14.26,-3.69,-39.54,-15.08
168,-10.67,-30.44,-61.03,13.75
169,-16.67,-19.19,-58.44,16.24
170,-15.73,12.87,-34.99,-17.63
171,-9.78,7.94,-35.34,-43.28
172,4.03,-1.08,-51.23,-34.29
173,4.81,14.08,-45.27,-20.97
174,-2.47,35.97,-18.98,-9.34
175,0.43,45.72,-13.53,-27.64
176,17.55,51.45,-13.86,-45.44
177,24.98,57.0,8.13,-18.35
178,16.88,45.48,17.18,-0.87
179,14.23,31.67,-0.96,-19.38
180,10.34,39.93,-8.98,-23.99
181,15.54,51.56,6.36,3.2
182,33.78,51.74,12.19,0.62
183,27.55,52.93,10.77,-21.36
184,6.69,55.24,30.32,11.49
185,-2.45,40.85,36.27,36.33
186,1.08,32.41,16.69,9.37
187,18.34,56.73,21.45,-10.11
188,28.89,68.06,47.48,-3.02
189,22.16,52.06,48.06,12.8
190,17.27,49.82,25.94,10.81
191,17.95,48.86,13.76,-3.79
192,13.04,31.23,9.0,-3.96
193,6.29,20.53,0.15,12.81
194,4.78,21.23,-3.58,19.72
195,0.94,16.76,-5.81,-1.16
196,-2.8,5.36,-12.24,-11.89
197,0.12,-2.86,-16.91,2.02
198,3.8,-5.68,-18.13,18.12
199,4.84,-5.9,-10.94,25.75
200,3.28,-2.94,-6.31,9.03
201,4.65,-5.79,-10.51,3.24
202,2.54,-22.12,-14.66,13.21
203,-7.05,-42.55,-17.26,0.32
204,-4.33,-51.67,-11.43,-2.94
205,5.32,-45.58,-0.78,11.0
206,4.78,-35.81,2.47,9.03
207,0.02,-28.73,-2.43,-4.06
208,-2.09,-28.42,-5.16,-13.05
209,-7.77,-33.82,-3.38,-19.15
210,-17.4,-30.96,-6.22,-19.14
211,-12.41,-15.41,-3.74,-7.45
212,2.18,-3.04,3.24,8.06
213,7.59,1.23,3.26,14.0
214,0.76,2.93,0.57,3.14
215,-13.29,-0.26,-4.89,-10.91
216,-16.1,0.31,-4.96,-9.28
217,-11.58,5.4,-1.76,-3.91
218,-9.17,9.83,0.32,-8.59
219,-1.84,14.54,8.99,-14.75
220,-1.92,13.69,11.0,-18.45
221,-8.21,11.02,7.78,-2.38
222,-7.98,10.87,10.92,24.87
223,-3.68,13.32,9.77,20.22
224,1.25,15.01,5.34,-0.41
225,2.45,9.55,6.9,-5.45
226,3.7,7.07,10.79,2.85
227,4.32,9.07,6.52,12.6
228,2.3,9.7,0.02,7.18
229,-2.55,4.03,-0.07,-9.63
230,-9.27,-5.9,-2.19,-23.75
231,-6.19,-3.89,-1.65,-18.14
232,-3.69,-0.91,0.97,2.43
233,-11.29,-9.75,-4.0,10.4
234,-14.54,-17.03,-10.39,7.42
235,-10.32,-15.67,-10.38,2.89
236,-0.33,-9.25,-1.34,1.98
237,5.21,-6.64,3.56,0.69
238,-2.9,-11.02,-2.9,-4.93
239,-6.85,-13.71,-5.99,-2.81
240,-5.93,-15.4,-5.36,-1.67
241,-8.88,-15.09,-4.58,-8.52
242,-10.63,-11.56,-2.74,-17.07
243,-6.66,-10.39,-0.97,-18.24
244,0.34,-8.82,0.0,-7.32
245,-1.92,-6.68,-2.79,-0.67
246,-4.29,-4.25,-1.87,6.49
247,1.68,-1.56,-0.05,17.68
248,7.02,5.61,0.78,15.74
249,8.35,14.26,6.5,5.73
250,4.5,12.29,8.47,-6.8
251,5.27,8.99,9.27,-13.41
252,12.08,9.57,10.11,-4.48
253,12.07,7.31,6.41,6.47
254,4.22,4.58,3.76,10.9
255,-4.43,5.01,2.36,14.04
256,-3.08,10.14,3.95,17.06
257,5.45,13.85,6.28,13.55
258,9.29,11.58,7.1,7.92
259,9.7,7.42,9.62,6.95
260,4.7,0.89,2.96,-2.14
261,-3.85,-2.89,-7.11,-14.39
262,-10.01,-2.22,-8.9,-19.49
263,-12.1,-2.92,-10.07,-20.44
264,-10.15,-1.23,-10.65,-13.46
265,-9.42,0.32,-8.11,-5.88
266,-5.11,0.2,0.78,1.22
267,1.83,1.66,9.9,4.86
268,4.77,3.83,10.91,5.36
269,3.07,4.8,7.77,10.64
270,-0.63,2.47,2.34,7.31
271,2.89,2.41,-0.56,-0.02
272,4.91,5.11,-1.1,-3.62
273,1.8,5.53,-1.04,-10.12
274,7.43,7.55,2.64,-9.7
275,13.44,10.34,5.14,1.72
276,9.48,6.44,4.37,10.76
277,-1.81,-4.17,-1.97,0.91
278,-10.94,-12.12,-9.88,-11.96
